acute_7,chronic_30_expected_7,chronic_90_expected_7,acwr_7_30,acwr_7_90,ramp_7_30,ramp_7_90,z_overshoot_7_30,z_overshoot_7_90,ma_7,ma_30,ma_90,week_end,week_load,injury_week,predicted_injury_probability
251.0,275.88235294117646,275.88235294117646,0.9098081023454158,0.9098081023454158,-24.882352941176464,-24.882352941176464,-0.17429067737067647,-0.17429067737067647,35.857142857142854,39.411764705882355,39.411764705882355,2024-05-12,217.0,0,0.29863681791393487
336.0,293.41666666666663,293.41666666666663,1.1451292246520877,1.1451292246520877,42.58333333333337,42.58333333333337,0.294807603190409,0.294807603190409,48.0,41.916666666666664,41.916666666666664,2024-05-19,505.0,0,0.22762289421131343
322.0,292.83333333333337,299.8709677419355,1.099601593625498,1.0737951807228916,29.16666666666663,22.129032258064512,0.19503971332171677,0.14975045047118674,46.0,41.833333333333336,42.83870967741935,2024-05-26,356.0,0,0.23914404575720868
383.0,321.5333333333333,315.1842105263158,1.191167323242795,1.2151623945896302,61.4666666666667,67.81578947368422,0.3758750865464157,0.4319486945205883,54.714285714285715,45.93333333333333,45.026315789473685,2024-06-02,340.0,0,0.20916621204597471
352.0,339.0333333333333,320.9111111111111,1.0382459935109627,1.0968769475798075,12.966666666666697,31.088888888888903,0.07407411599592047,0.18786538967168012,50.285714285714285,48.43333333333333,45.84444444444444,2024-06-09,427.0,0,0.22811504675288488
406.0,365.8666666666667,332.36538461538464,1.1096938775510203,1.2215471850951802,40.133333333333326,73.63461538461536,0.2259406533451654,0.4499357749009336,58.0,52.266666666666666,47.48076923076923,2024-06-16,423.0,0,0.20404536477911367
463.0,388.9666666666667,347.864406779661,1.1903333618990486,1.3309783667900994,74.0333333333333,115.13559322033899,0.40132234767801245,0.6845140014460768,66.14285714285714,55.56666666666667,49.69491525423729,2024-06-23,213.0,0,0.1851324561848667
338.0,363.76666666666665,346.8181818181818,0.9291670484742968,0.9745740498034077,-25.76666666666665,-8.818181818181813,-0.1453754904494471,-0.05305948540046583,48.285714285714285,51.96666666666667,49.54545454545455,2024-06-30,56.0,0,0.22575326307199364
0.0,281.6333333333333,313.56164383561645,0.0,0.0,-281.6333333333333,-313.56164383561645,-1.7842752628579197,-1.9281738762207703,0.0,40.233333333333334,44.794520547945204,2024-07-07,283.0,0,0.4065037517412969
262.0,276.9666666666667,309.05,0.9459622096521842,0.8477592622552985,-14.966666666666697,-47.05000000000001,-0.08864514572833758,-0.28568169593581944,37.42857142857143,39.56666666666667,44.15,2024-07-14,227.0,0,0.2662782097350169
