date,daily_score,weighted_tries,attempts,sends,mean_grade,max_grade,mean_grade_weight,max_grade_weight,leaky_load_3d,leaky_load_7d
2024-06-19,25.11099071133317,11.5,16.0,7.0,6.3125,10.0,2.8186303263198416,5.754602676005731,61.055685853698094,107.51211112261991
2024-06-20,0.0,0.0,0.0,0.0,,,,,43.74831060273186,93.19987308768489
2024-06-21,0.0,0.0,0.0,0.0,,,,,31.34703433156466,80.79291023923575
2024-06-22,0.0,0.0,0.0,0.0,,,,,22.461131592197592,70.03758834289363
2024-06-23,0.0,0.0,0.0,0.0,,,,,16.094104056727684,60.71403748625543
2024-06-24,0.0,0.0,0.0,0.0,,,,,11.531929472278026,52.6316573014389
2024-06-25,0.0,0.0,0.0,0.0,,,,,8.26298853821588,45.625220541842666
2024-06-26,0.08688697172522257,0.5,1.0,0.0,0.0,0.0,0.17377394345044514,0.17377394345044514,6.007576978269247,39.638382330676635
2024-06-27,0.0,0.0,0.0,0.0,,,,,4.304617005612188,34.36163762431167
2024-06-28,0.0,0.0,0.0,0.0,,,,,3.0843928645495216,29.78734425574012
2024-06-29,0.0,0.0,0.0,0.0,,,,,2.2100640615601126,25.821990427551633
2024-06-30,9.952597545258302,8.5,11.0,6.0,5.090909090909091,9.0,1.4395424536400652,4.0551999668446745,11.53617764374,32.337110374463556
2024-07-01,1.2329848197080324,5.0,5.0,5.0,1.0,1.0,0.2465969639416065,0.2465969639416065,9.499017305789105,29.265311145112808
2024-07-02,0.0,0.0,0.0,0.0,,,,,6.806343319280172,25.36945146101097
2024-07-03,0.0,0.0,0.0,0.0,,,,,4.876958098778977,21.992216800335367
2024-07-04,0.0,0.0,0.0,0.0,,,,,3.494493178131556,19.06456671072538
2024-07-05,33.639089741790116,19.5,32.0,7.0,6.28125,9.0,1.961102138567382,4.0551999668446745,36.14300351850788,50.165741291630965
2024-07-06,0.0,0.0,0.0,0.0,,,,,25.89759367918953,43.487572450300014
2024-07-07,13.01777960902631,11.5,15.0,8.0,5.133333333333334,9.0,1.3827443871798881,4.0551999668446745,31.574216348683464,50.716195079976245
2024-07-08,0.0,0.0,0.0,0.0,,,,,22.623914620662525,43.9647486742503
2024-07-09,4.962232028613054,16.0,16.0,16.0,1.5625,3.0,0.3101395017883159,0.4965853037914095,21.172975222065887,43.07430102239174
2024-07-10,7.448784670134064,8.0,11.0,5.0,4.909090909090909,6.0,1.0260836152109616,1.4190675485932571,22.6198843547473,44.78894427363211
2024-07-11,0.0,0.0,0.0,0.0,,,,,16.207855381734635,38.82654594395413
2024-07-12,21.41077599647754,9.0,16.0,2.0,7.0625,9.0,2.5566186962856507,4.0551999668446745,33.024211854742305,55.068650598926425
2024-07-13,0.0,0.0,0.0,0.0,,,,,23.662881800944973,47.73779617327392
2024-07-14,8.110126138659279,8.5,9.0,8.0,3.888888888888889,7.0,0.9566806820732532,2.0137527074704766,25.065321847443048,49.49296662404923
2024-07-15,0.0,0.0,0.0,0.0,,,,,17.9600879133022,42.90435895946163
2024-07-16,0.0,0.0,0.0,0.0,,,,,12.868965330538897,37.19284058490599
2024-07-17,17.90394946545458,15.0,20.0,10.0,5.45,7.0,1.3837685211684179,2.0137527074704766,27.124966059474275,50.1456009974412
2024-07-18,14.699518390129077,9.5,15.0,4.0,6.133333333333334,8.0,1.7491191309287921,2.8576511180631634,34.13540586999373,58.169631664501516
2024-07-19,0.0,0.0,0.0,0.0,,,,,24.45908710499483,50.42596812656473
2024-07-20,0.0,0.0,0.0,0.0,,,,,17.525701738780413,43.71315734242604
2024-07-21,0.0,0.0,0.0,0.0,,,,,12.557714035613666,37.89397002845151
2024-07-22,0.0,0.0,0.0,0.0,,,,,8.997995295749128,32.84944515146038
2024-07-23,0.0,0.0,0.0,0.0,,,,,6.447345361799913,28.47645802085676
2024-07-24,0.0,0.0,0.0,0.0,,,,,4.6197248218123335,24.68561212144452
2024-07-25,3.9297434574088883,7.5,8.0,7.0,2.75,7.0,0.6170774763930158,2.0137527074704766,7.239920938472345,25.32915504729434
2024-07-26,0.0,0.0,0.0,0.0,,,,,5.187630038494207,21.957284729845227
2024-07-27,0.0,0.0,0.0,0.0,,,,,3.717099350254211,19.034284870824965
2024-07-28,59.43253837708245,16.0,26.0,6.0,7.461538461538462,11.0,4.462024723414314,8.166169912567646,62.09595644605308,75.93293926914986
2024-07-29,0.0,0.0,0.0,0.0,,,,,44.49369705362335,65.82458691549871
2024-07-30,16.311766198191187,10.5,15.0,6.0,6.2,8.0,1.7759667331798241,2.8576511180631634,48.19289326029707,73.373645855422
2024-07-31,0.0,0.0,0.0,0.0,,,,,34.53171696814339,63.605992016161835
