date,actual_send_rate,predicted_send_probability,grade_only_expected_send_probability,performance_residual,attempts,mean_grade,readiness
2024-04-18,0.29411764705882354,0.4672957616300143,0.5553622285793158,-0.26124458152049235,17,4.294117647058823,0.0
2024-04-20,0.631578947368421,0.5537571380839674,0.6174012393360907,0.014177708032330346,19,3.8421052631578947,312.9429218098156
2024-04-23,0.125,0.14108016609594912,0.16438609958634304,-0.03938609958634304,16,9.0,449.5963168804195
2024-04-24,0.42857142857142855,0.335900492241168,0.2996919911182871,0.12887943745314148,7,6.142857142857143,1827.7451109127153
2024-04-26,0.4375,0.40782930782017585,0.38328699502361124,0.05421300497638876,16,5.375,1620.569149809077
2024-04-29,0.6,0.5710722335392868,0.5468650498753562,0.053134950124643796,5,4.6,1437.4525044977743
2024-04-30,0.13636363636363635,0.18930405355077892,0.18733124231563947,-0.050967605952003094,22,7.636363636363637,1359.095808089669
2024-05-03,0.0,0.007683824321018826,0.0066785679105771075,-0.0066785679105771075,6,10.0,2002.0633498262166
2024-05-05,0.75,0.6174358285832451,0.5561820350236338,0.1938179649763662,28,4.25,2024.6318865427534
2024-05-08,0.2,0.22104758556403656,0.21440648132238374,-0.014406481322383749,15,7.466666666666667,1764.5503228103792
2024-05-10,0.8571428571428571,0.5347422596403256,0.45131207706747223,0.4058307800753849,21,5.0,2170.358574437342
2024-05-13,0.21428571428571427,0.2565349334043382,0.23607756535996854,-0.02179185107425426,14,6.857142857142857,1826.4173781342392
2024-05-16,0.20833333333333334,0.2896683650950554,0.27167788599207293,-0.06334455265873963,24,6.791666666666667,1748.898721518123
2024-05-17,0.09090909090909091,0.4911934435798713,0.3536338870755123,-0.2627247961664214,11,5.7272727272727275,2791.081650585408
2024-05-19,0.2857142857142857,0.4899290368529708,0.43359958180633046,-0.14788529609204476,35,5.228571428571429,2432.9162307373435
2024-05-20,0.19047619047619047,0.3211016591606803,0.25045937318617034,-0.05998318270997985,21,6.714285714285714,3360.0413123697167
2024-05-23,0.42857142857142855,0.7156859979794975,0.5662903241240704,-0.13771889555264188,14,4.214285714285714,3031.2681913329347
2024-05-26,0.05,0.09086897702954794,0.07321013675104406,-0.023210136751044056,20,7.8,2179.8397946953473
2024-05-27,1.0,0.9884265795367736,0.9701999099173347,0.029800090082665265,9,1.0,3121.65494301737
2024-05-29,0.55,0.5961355315116548,0.5057203622123032,0.04427963778769676,40,4.675,2353.6547075915305
2024-06-02,0.0,0.012544978365139296,0.010794041986982673,-0.010794041986982673,15,9.6,1970.8189379939006
2024-06-04,0.1111111111111111,0.16797722576308954,0.1407050558146026,-0.029593944703491488,9,7.333333333333333,2682.518449718918
2024-06-05,0.2,0.16188655006764388,0.09660827062578001,0.10339172937421999,10,7.2,2841.4159597334487
2024-06-07,0.8333333333333334,0.5085734909687695,0.40627027532144777,0.42706305801188554,24,5.166666666666667,2587.769837591002
2024-06-09,0.047619047619047616,0.08892032542596928,0.06081104652897921,-0.013191998909931594,21,7.857142857142857,2546.263535081385
2024-06-11,0.6666666666666666,0.539777070820961,0.4341776891206919,0.23248897754597478,3,5.333333333333333,3044.7348879732544
2024-06-13,0.0625,0.09125240623063915,0.0665553847804838,-0.004055384780483797,16,7.8125,2373.003165921543
