date,actual_send_rate,predicted_send_probability,grade_only_expected_send_probability,performance_residual,attempts,mean_grade,readiness
2024-06-04,0.1111111111111111,0.16875464225435902,0.1398144962727709,-0.028703385161659784,9,7.333333333333333,3711.456049646343
2024-06-05,0.2,0.16278594448354328,0.09488544068752702,0.10511455931247297,10,7.2,3874.2643091159393
2024-06-07,0.8333333333333334,0.5182562051486608,0.4044804332007894,0.4288529001325439,24,5.166666666666667,3644.304467640411
2024-06-09,0.047619047619047616,0.0916086099939974,0.059687867501580574,-0.01206881988253296,21,7.857142857142857,3611.6613093536425
2024-06-11,0.6666666666666666,0.5432847352589086,0.43308859984508535,0.2335780668215813,3,5.333333333333333,4137.791014206646
2024-06-13,0.0625,0.0960150035950304,0.06541239101497062,-0.0029123910149706257,16,7.8125,3476.4108201082367
2024-06-14,0.6896551724137931,0.499571670295246,0.34681928647106985,0.34283588594272324,29,5.413793103448276,4130.58659049901
2024-06-16,0.0625,0.11496296643596465,0.06541239101497062,-0.0029123910149706257,16,7.8125,4204.335482887755
2024-06-18,0.14285714285714285,0.14165631893665784,0.08564190409749074,0.05721523875965213,14,8.0,4333.483612862591
2024-06-19,0.4375,0.4040240664049075,0.33283220676730807,0.10466779323269192,16,6.3125,4841.0981233637285
2024-06-26,0.0,0.9936378685914229,0.9883844429385786,-0.9883844429385786,1,0.0,2864.471144957487
2024-06-30,0.5454545454545454,0.43828196225499844,0.43059406144649465,0.11486048400805075,11,5.090909090909091,1920.1124297556632
2024-07-01,1.0,0.9780983808748296,0.9705563170026416,0.029443682997358334,5,1.0,2089.389573278867
2024-07-05,0.21875,0.255081183491087,0.2683183593929184,-0.04956835939291844,32,6.28125,1404.263806050083
2024-07-07,0.5333333333333333,0.46648305204697665,0.4326286894155459,0.10070464391778747,15,5.133333333333334,2422.8202106241324
2024-07-09,1.0,0.9568397339248567,0.9397225977990705,0.06027740220092947,16,1.5625,2406.196489839643
2024-07-10,0.45454545454545453,0.48845925288971265,0.45224280789754956,0.0023026466479050063,11,4.909090909090909,2224.2166191536917
2024-07-12,0.125,0.21495055213288358,0.20821852294522947,-0.08321852294522947,16,7.0625,2070.7696749861893
2024-07-14,0.8888888888888888,0.5899022458622123,0.559695711649681,0.3291931772392079,9,3.888888888888889,2485.3258813978828
2024-07-17,0.5,0.36414919292739356,0.353450577014993,0.14654942298500703,20,5.45,2000.8271941216076
2024-07-18,0.26666666666666666,0.28006768561010154,0.25511381405771616,0.011552852608950497,15,6.133333333333334,2473.4233122651294
