id,time,grade,send/reps,type,weight,outside,effort,date,send,attempts,attempt_load,readiness,predicted_send_probability,grade_only_expected_send_probability,performance_residual
5,2024-04-18 17:14:39.003432,0,1,0,0.0,0,5,2024-04-18,1,1,0,0.0,0.9835406317095422,0.9883844429385786,0.011615557061421367
6,2024-04-18 17:15:49.305998,3,1,0,0.0,0,5,2024-04-18,1,1,9,0.0,0.7529249611305162,0.8318390349179802,0.16816096508201983
7,2024-04-18 17:17:39.545875,4,1,0,0.0,0,5,2024-04-18,1,1,16,0.0,0.5305311169651673,0.6570963018227935,0.34290369817720645
8,2024-04-18 17:19:26.590790,2,1,0,0.0,0,5,2024-04-18,1,1,4,0.0,0.8915111327792199,0.9273753283850786,0.07262467161492137
9,2024-04-18 17:24:21.139056,3,1,0,0.0,0,5,2024-04-18,1,1,9,0.0,0.7529249611305162,0.8318390349179802,0.16816096508201983
10,2024-04-18 17:27:06.186809,7,0,0,0.0,0,5,2024-04-18,0,1,49,0.0,0.05448964977324341,0.10023392045771826,-0.10023392045771826
11,2024-04-18 17:28:27.091924,7,0,0,0.0,0,5,2024-04-18,0,1,49,0.0,0.05448964977324341,0.10023392045771826,-0.10023392045771826
12,2024-04-18 17:30:22.146263,6,0,0,0.0,0,5,2024-04-18,0,1,36,0.0,0.1345030263732803,0.22334270735276335,-0.22334270735276335
13,2024-04-18 17:31:52.498268,4,0,0,0.0,0,5,2024-04-18,0,1,16,0.0,0.5305311169651673,0.6570963018227935,-0.6570963018227935
14,2024-04-18 17:33:01.254208,4,0,0,0.0,0,5,2024-04-18,0,1,16,0.0,0.5305311169651673,0.6570963018227935,-0.6570963018227935
15,2024-04-18 17:35:03.607256,4,0,0,0.0,0,5,2024-04-18,0,1,16,0.0,0.5305311169651673,0.6570963018227935,-0.6570963018227935
16,2024-04-18 17:38:30.408485,5,0,0,0.0,0,5,2024-04-18,0,1,25,0.0,0.2953125065838389,0.4260573723585436,-0.4260573723585436
17,2024-04-18 17:39:57.486231,4,0,0,0.0,0,5,2024-04-18,0,1,16,0.0,0.5305311169651673,0.6570963018227935,-0.6570963018227935
18,2024-04-18 17:42:23.147983,5,0,0,0.0,0,5,2024-04-18,0,1,25,0.0,0.2953125065838389,0.4260573723585436,-0.4260573723585436
19,2024-04-18 17:44:47.699392,5,0,0,0.0,0,5,2024-04-18,0,1,25,0.0,0.2953125065838389,0.4260573723585436,-0.4260573723585436
20,2024-04-18 17:46:50.112496,5,0,0,0.0,0,5,2024-04-18,0,1,25,0.0,0.2953125065838389,0.4260573723585436,-0.4260573723585436
21,2024-04-18 17:48:40.076611,5,0,0,0.0,0,5,2024-04-18,0,1,25,0.0,0.2953125065838389,0.4260573723585436,-0.4260573723585436
24,2024-04-20 12:19:14.873879,1,1,0,0.0,0,5,2024-04-20,1,1,1,326.64630791098136,0.9611276715028592,0.9705563170026417,0.029443682997358334
25,2024-04-20 12:20:29.458006,2,1,0,0.0,0,5,2024-04-20,1,1,4,326.64630791098136,0.9016618684925913,0.9273753283850786,0.07262467161492137
26,2024-04-20 12:21:28.950257,1,1,0,0.0,0,5,2024-04-20,1,1,1,326.64630791098136,0.9611276715028592,0.9705563170026417,0.029443682997358334
27,2024-04-20 12:22:52.473313,1,1,0,0.0,0,5,2024-04-20,1,1,1,326.64630791098136,0.9611276715028592,0.9705563170026417,0.029443682997358334
28,2024-04-20 12:24:52.112185,3,1,0,0.0,0,5,2024-04-20,1,1,9,326.64630791098136,0.7727370023812241,0.8318390349179802,0.16816096508201983
29,2024-04-20 12:26:13.137544,3,1,0,0.0,0,5,2024-04-20,1,1,9,326.64630791098136,0.7727370023812241,0.8318390349179802,0.16816096508201983
30,2024-04-20 12:28:32.501745,4,1,0,0.0,0,5,2024-04-20,1,1,16,326.64630791098136,0.5577002837476007,0.6570963018227935,0.34290369817720645
31,2024-04-20 12:32:13.607298,4,1,0,0.0,0,5,2024-04-20,1,1,16,326.64630791098136,0.5577002837476007,0.6570963018227935,0.34290369817720645
32,2024-04-20 12:34:15.302171,5,0,0,0.0,0,5,2024-04-20,0,1,25,326.64630791098136,0.3186108919586225,0.4260573723585436,-0.4260573723585436
33,2024-04-20 12:37:38.473680,5,0,0,0.0,0,5,2024-04-20,0,1,25,326.64630791098136,0.3186108919586225,0.4260573723585436,-0.4260573723585436
34,2024-04-20 12:39:35.874551,5,0,0,0.0,0,5,2024-04-20,0,1,25,326.64630791098136,0.3186108919586225,0.4260573723585436,-0.4260573723585436
35,2024-04-20 12:42:57.734727,5,0,0,0.0,0,5,2024-04-20,0,1,25,326.64630791098136,0.3186108919586225,0.4260573723585436,-0.4260573723585436
36,2024-04-20 12:48:18.402259,5,1,0,0.0,0,5,2024-04-20,1,1,25,326.64630791098136,0.3186108919586225,0.4260573723585436,0.5739426276414564
37,2024-04-20 12:53:28.089773,5,0,0,0.0,0,5,2024-04-20,0,1,25,326.64630791098136,0.3186108919586225,0.4260573723585436,-0.4260573723585436
