"id","time","grade","send/reps","type","weight","outside","effort","pain","fear"
"3341","2026-04-27T20:31:07.093108","4","1","0","278.0","0","5","0","0"
"3340","2026-04-25T15:13:39.638434","6","0","0","278.0","1","5","0","0"
"3339","2026-04-25T15:09:30.805637","6","0","0","278.0","1","5","0","0"
"3338","2026-04-25T15:03:57.826582","6","0","0","278.0","1","5","0","0"
"3337","2026-04-25T14:44:22.495460","2","1","0","278.0","1","5","0","0"
"3336","2026-04-25T14:34:09.314575","8","0","0","278.0","1","5","0","0"
"3335","2026-04-25T14:34:06.513977","6","0","0","278.0","1","5","0","0"
"3334","2026-04-25T14:33:59.850232","6","0","0","278.0","1","5","0","0"
"3333","2026-04-25T14:33:52.551807","8","0","0","278.0","1","5","0","0"
"3332","2026-04-25T13:40:26.605094","4","1","0","278.0","1","5","0","0"
"3331","2026-04-25T13:12:29.090747","6","0","0","278.0","1","5","0","0"
"3330","2026-04-25T13:05:45.967586","6","0","0","278.0","1","5","0","0"
"3329","2026-04-25T13:05:39.713547","6","0","0","278.0","1","5","0","0"
"3328","2026-04-25T12:31:35.391608","4","1","0","278.0","1","5","0","0"
"3327","2026-04-25T12:22:21.761351","4","0","0","278.0","1","5","0","0"
"3326","2026-04-25T12:15:40.206823","4","0","0","278.0","1","5","0","0"
"3325","2026-04-25T12:03:53.018626","4","0","0","278.0","1","5","0","0"
"3324","2026-04-25T11:17:57.034827","3","1","0","278.0","1","5","0","0"
"3323","2026-04-25T10:52:05.524815","2","1","0","278.0","1","5","0","0"
"3322","2026-04-25T10:45:55.780904","2","1","0","278.0","1","5","0","0"
"3321","2026-04-25T10:36:23.460566","1","1","0","278.0","1","5","0","0"
"3320","2026-04-23T18:56:46.671302","3","0","0","278.0","0","5","0","0"
"3319","2026-04-23T18:53:49.143685","3","0","0","278.0","0","5","0","0"
"3318","2026-04-23T18:51:26.660765","4","0","0","278.0","0","5","0","0"
"3317","2026-04-23T18:45:07.027572","5","0","0","278.0","0","5","0","0"
"3316","2026-04-23T18:42:01.551191","5","0","0","278.0","0","5","0","0"
"3315","2026-04-23T18:39:16.737296","6","0","0","278.0","0","5","0","0"
"3314","2026-04-23T18:36:44.842012","5","0","0","278.0","0","5","0","0"
"3313","2026-04-23T18:35:10.006137","5","0","0","278.0","0","5","0","0"
"3312","2026-04-23T18:28:45.953128","4","1","0","278.0","0","5","0","0"
"3311","2026-04-23T18:25:55.615453","4","1","0","278.0","0","5","0","0"
"3310","2026-04-23T18:23:13.384036","5","0","0","278.0","0","5","0","0"
"3309","2026-04-23T18:20:48.688992","3","1","0","278.0","0","5","0","0"
"3308","2026-04-23T18:18:32.033678","3","1","0","278.0","0","5","0","0"
"3307","2026-04-23T18:17:18.047240","3","0","0","278.0","0","5","0","0"
"3306","2026-04-23T18:15:27.842585","3","0","0","278.0","0","5","0","0"
"3305","2026-04-20T20:12:53.110583","4","1","0","278.0","0","5","0","0"
"3304","2026-04-20T19:59:19.540094","4","1","0","278.0","0","5","0","0"
"3303","2026-04-20T19:51:54.026696","4","1","0","278.0","0","5","0","0"
"3302","2026-04-20T19:48:06.464856","4","1","0","278.0","0","5","0","0"
"3301","2026-04-20T19:44:48.093440","5","1","0","278.0","0","5","0","0"
"3300","2026-04-20T19:42:51.204624","4","0","0","278.0","0","5","0","0"
"3299","2026-04-20T19:42:40.442355","4","0","0","278.0","0","5","0","0"
"3298","2026-04-18T18:53:39.043914","5","0","0","278.0","0","5","0","0"
"3297","2026-04-18T18:48:34.868095","4","0","0","278.0","0","5","0","0"
"3296","2026-04-18T18:46:30.694097","4","0","0","278.0","0","5","0","0"
