date,daily_score,attempts,sends,mean_grade,max_grade,ma_7,ma_30,ma_90,acute_7,chronic_30_daily,chronic_90_daily,chronic_30_expected_7,chronic_90_expected_7,acwr_7_30,acwr_7_90,ramp_7_30,ramp_7_90,chronic_30_sd,chronic_90_sd,chronic_30_sd_7day,chronic_90_sd_7day,z_overshoot_7_30,z_overshoot_7_90,risk_flag_7_30,risk_flag_7_90
2024-04-18,73.0,17.0,5.0,4.294117647058823,7.0,,,,,,,,,,,,,,,,,,,normal,normal
2024-04-19,0.0,0.0,0.0,,,73.0,73.0,73.0,73.0,,,,,,,,,,,,,,,normal,normal
2024-04-20,73.0,19.0,12.0,3.8421052631578947,6.0,36.5,36.5,36.5,73.0,,,,,,,,,,,,,,,normal,normal
2024-04-21,0.0,0.0,0.0,,,48.666666666666664,48.666666666666664,48.666666666666664,146.0,,,,,,,,,,,,,,,normal,normal
2024-04-22,0.0,0.0,0.0,,,36.5,36.5,36.5,146.0,,,,,,,,,,,,,,,normal,normal
2024-04-23,144.0,16.0,2.0,9.0,11.0,29.2,29.2,29.2,146.0,,,,,,,,,,,,,,,normal,normal
2024-04-24,43.0,7.0,3.0,6.142857142857143,8.0,48.333333333333336,48.333333333333336,48.333333333333336,290.0,,,,,,,,,,,,,,,normal,normal
2024-04-25,0.0,0.0,0.0,,,47.57142857142857,47.57142857142857,47.57142857142857,333.0,47.57142857142857,,333.0,,1.0,,0.0,,53.85430079655398,,142.4850869389495,,0.0,,normal,normal
2024-04-26,86.0,16.0,7.0,5.375,7.0,37.142857142857146,41.625,41.625,260.0,41.625,,291.375,,0.8923208923208923,,-31.375,,52.61976136124418,,139.21880260941768,,-0.22536467353496392,,normal,normal
2024-04-27,0.0,0.0,0.0,,,49.42857142857143,46.55555555555556,46.55555555555556,346.0,46.55555555555556,,325.8888888888889,,1.061711558131606,,20.111111111111086,,51.39579533169788,,135.98049288204706,,0.14789703055831674,,normal,normal
2024-04-28,0.0,0.0,0.0,,,39.0,41.9,41.9,273.0,41.9,,293.3,,0.9307875894988067,,-20.30000000000001,,50.643525417042866,,133.9901737690741,,-0.151503647088227,,normal,normal
2024-04-29,23.0,5.0,3.0,4.6,7.0,39.0,38.09090909090909,38.09090909090909,273.0,38.09090909090909,,266.6363636363636,,1.0238663484486874,,6.363636363636374,,49.677871422706,,131.43529344752255,,0.048416496031769035,,normal,normal
2024-04-30,168.0,22.0,3.0,7.636363636363637,11.0,42.285714285714285,36.833333333333336,36.833333333333336,296.0,36.833333333333336,,257.83333333333337,,1.1480284421460891,,38.16666666666663,,47.56590324502575,,125.84755087249835,,0.30327699190058094,,normal,normal
